comuna,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,precio,gastos_comunes,lat,long,precio_total,distancia_estacion,estacion_cercana
Independencia,2.0,2.0,0.0,0.0,50.0,50.0,380000.0,50000.0,-33.4299192,-70.6562492,430000.0,541.2557997347681,Puente Cal y Canto
Independencia,1.0,1.0,1.0,0.0,39.0,32.0,390000.0,70000.0,-33.4226628,-70.6536471,460000.0,570.3205321869534,Hospitales
Independencia,1.0,1.0,0.0,0.0,35.0,35.0,320000.0,37000.0,-33.4126782,-70.6550924,357000.0,588.3528644979856,Hospitales
Independencia,2.0,1.0,1.0,0.0,53.0,50.0,450000.0,53000.0,-33.4150716,-70.6702723,503000.0,1292.6413928295372,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,44.0,44.0,300000.0,0.0,-33.4038602,-70.6622255,300000.0,298.62619797469625,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,38.0,40.0,350000.0,48000.0,-33.4205759,-70.6597626,398000.0,459.6813667190296,Hospitales
Independencia,1.0,1.0,0.0,0.0,33.0,33.0,324459.0,40000.0,-33.4053482,-70.6624346,364459.0,170.55321799730865,Plaza Chacabuco
Independencia,1.0,1.0,0.0,1.0,40.0,40.0,450000.0,35000.0,-33.4292844,-70.6575785,485000.0,681.381197796482,Puente Cal y Canto
Independencia,1.0,1.0,0.0,0.0,29.0,29.0,290000.0,50000.0,-33.4216635,-70.6551598,340000.0,423.51613904777855,Hospitales
Independencia,1.0,1.0,0.0,0.0,38.0,38.0,350000.0,50000.0,-33.40796,-70.65942,400000.0,233.8547717942241,Plaza Chacabuco
Independencia,2.0,1.0,1.0,1.0,40.31,40.31,390000.0,0.0,-33.4126782,-70.6550924,390000.0,588.3528644979856,Hospitales
Independencia,1.0,1.0,0.0,0.0,38.0,35.0,350000.0,50000.0,-33.4082676,-70.6597235,400000.0,245.4846395056424,Plaza Chacabuco
Independencia,2.0,2.0,1.0,0.0,53.5,49.3,380000.0,70000.0,-33.4193172,-70.6575467,450000.0,213.61612497020818,Hospitales
Independencia,1.0,1.0,1.0,0.0,32.0,32.0,300000.0,45000.0,-33.404485,-70.6702836,345000.0,791.541017997476,Conchalí
Independencia,3.0,2.0,1.0,0.0,73.0,73.0,600000.0,100000.0,-33.4053482,-70.6624346,700000.0,170.55321799730865,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,33.9,33.9,330000.0,0.0,-33.419086,-70.659668,330000.0,366.929599551017,Hospitales
Independencia,1.0,1.0,1.0,0.0,50.0,50.0,450000.0,50000.0,-33.4097178,-70.6546523,500000.0,702.0399929809729,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,50.0,50.0,380000.0,30000.0,-33.4268194,-70.6576976,410000.0,885.2180786637595,Puente Cal y Canto
Independencia,2.0,1.0,1.0,1.0,48.0,45.0,450000.0,0.0,-33.4070873,-70.665246,450000.0,397.3774260120218,Plaza Chacabuco
Independencia,2.0,2.0,0.0,0.0,55.0,50.0,450000.0,100000.0,-33.4185117,-70.6567653,550000.0,99.00114270231778,Hospitales
Independencia,2.0,2.0,1.0,1.0,52.0,52.0,400000.0,0.0,-33.4009017,-70.6608557,400000.0,607.5133916900184,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,38.0,35.0,310000.0,45000.0,-33.40796,-70.65942,355000.0,233.8547717942241,Plaza Chacabuco
